id,old_region,new_region,disposition
b3b8776e-5a43-4fa9-a548-45ca08174934,"1 Lyell St","Canberra District",tier1-live-spatial
e49881a0-60cf-4e4c-8698-54fb040b5f92,"18 King George Terrace, Parkes, ACT 2600","Canberra District",tier1-live-spatial
7a9c96bc-d956-4d4f-8a0b-0bab69d25ac4,"18 National Circuit","Canberra District",tier1-live-spatial
96bffba1-7231-4e40-af08-ee74dc346953,"2/3 Wiluna St","Canberra District",tier1-live-spatial
698f0516-5d34-44e4-9364-ac855dae802f,"325 Kambah Pool Rd","Canberra District",tier1-live-spatial
11b1a7fe-e9e5-4e2c-8187-3a07ea71c9aa,"47 Jardine St","Canberra District",tier1-live-spatial
ca5bf769-ae36-4a20-b71f-850249abac12,"68 Bandjalong Cres","Canberra District",tier1-live-spatial
b2d79f27-fe13-4cc0-ae5b-505098547a48,"69 Canberra Ave","Canberra District",tier1-live-spatial
fd9b2d66-5fab-447f-969d-0dc56a6ef200,"Tharwa, ACT","Canberra District",tier1-live-spatial
0014b4b8-e7ef-4af0-875b-ec363b29bf6f,"Lime Kiln Rd, Australian Capital Territory","Canberra District",tier3-best-judgment
81b5b359-3bad-41d3-bd58-a44e794fd507,"1 Badgery Cres","Blue Mountains",tier1-live-spatial
cf2023af-49e3-4a30-ae3e-3f13ff0eb9c9,"13-17 Brightlands Ave","Blue Mountains",tier1-live-spatial
aa2d68a6-060c-4549-98c0-4823afd9c44c,"17b Tusculum Rd","Blue Mountains",tier1-live-spatial
3d66f3f0-9b5c-41ee-a64b-27c486873473,"186 Chapman Parade","Blue Mountains",tier1-live-spatial
18a0b97f-6110-4b04-baab-298cb3bb16cc,"19 Station St","Blue Mountains",tier1-live-spatial
0623600e-b905-49a9-9297-c1d83f34dc04,"194 Great Western Hwy","Blue Mountains",tier1-live-spatial
00b3d744-b2c3-4299-83f9-ce14978dfc27,"2 Closeburn Dr","Blue Mountains",tier1-live-spatial
b1362bcd-8b75-43cb-a390-7465216a33bf,"46 Portland Rd","Blue Mountains",tier1-live-spatial
4a6281a5-19ea-4ab9-b2c6-cb974f69948d,"88 Fletcher St","Blue Mountains",tier1-live-spatial
72e0dc72-a8f3-416b-a011-ee4f7da5203d,"Katoomba, NSW","Blue Mountains",tier1-live-spatial
aa01c5f5-6d0e-4705-8708-6d9d8b65a10f,"439 Federal drive, Federal","Byron Bay",tier1-live-spatial
052ccea9-6bc9-4b74-9dcd-4c8f29db2366,"698 Left Bank Rd","Byron Bay",tier1-live-spatial
60efe547-729f-4a14-9f25-745d5f588292,"Byron Bay, NSW","Byron Bay",tier1-live-spatial
eb94d7cb-9afa-4db2-96dd-835388ace3df,"Byron Shire, NSW","Byron Bay",tier1-live-spatial
88f43f2d-7222-4d0f-8616-3b6a523e25d2,"1692 Murrumbateman Road, Gundaroo","Canberra Wine District",tier1-live-spatial
fad13ff4-7634-4512-9819-6d109b90cd2f,"196 Brooklands Road, Wallaroo, NSW,","Canberra Wine District",tier1-live-spatial
36a7275f-aba3-4c80-bdb3-35414a0b07b6,"92 Meehan St","Canberra Wine District",tier1-live-spatial
801e4bcc-dede-4708-bc2b-e324068f81e4,"1 Darkinjung Rd","Central Coast",tier1-live-spatial
1c74fbfd-33d7-4f1a-bce7-8901a38f736c,"36 Webb St","Central Coast",tier1-live-spatial
8758be2d-e10b-4581-bb68-14ad5d464a2c,"8 Russell Drysdale Street, ​East Gosford","Central Coast",tier1-live-spatial
0908ab4c-21bd-4716-81fb-1ec411c2e95f,"116 Old Pacific Hwy","Coffs Coast",tier1-live-spatial
14690d54-5a4f-4b94-bcaf-1acb6cdfe665,"235 The Mountain Way","Coffs Coast",tier1-live-spatial
0b612920-0258-4394-bba8-00e983667a9a,"1260 Broke Rd","Hunter Valley",tier1-live-spatial
594ba9ce-a2e3-4671-8efd-73cf95387ba4,"5/65 John Street Singleton NSW","Hunter Valley",tier1-live-spatial
934336cc-5897-4efd-af4f-d3522fb16c5a,"659 Hermitage Rd","Hunter Valley",tier1-live-spatial
d7a8c5e9-581f-4f7e-aa40-3512f8c117e4,"1257 Windeyer Rd","Mudgee",tier1-live-spatial
39009df0-cae7-4d27-877f-2af54302b654,"15 Borambil Road Quirindi, New South Wales","New England North West",tier1-live-spatial
49e87bc6-397d-47bf-86f5-8cd4083f8f58,"Fossickers Way, Warialda Rail","New England North West",tier1-live-spatial
a437b1c7-d193-46a6-8dd1-fbcfa429c70e,"3 Elizabeth St, Tighes Hill, NSW","Newcastle",tier1-live-spatial
dd0194f2-429c-4899-b9fc-c159a5e9ed2f,"10 Junction St","Northern Rivers",tier1-live-spatial
c098bee0-c215-4bac-abbb-3008142bdd42,"15 Kirkland Court","Northern Rivers",tier1-live-spatial
935fb6ec-4303-4c05-9f42-e89eab876edd,"19/21 Broadway","Northern Rivers",tier1-live-spatial
f1b6292a-fba6-44f6-b6df-4c803c069687,"274 Mount Burrell Rd","Northern Rivers",tier1-live-spatial
90a5e02a-967b-43e7-88c8-c81f050bb73f,"38 Killen Falls Dr","Northern Rivers",tier1-live-spatial
0078fe3a-8a19-4d50-b110-1b108d4138b6,"46 Red Ln","Northern Rivers",tier1-live-spatial
4641d44d-229e-46fe-a817-96167716aca6,"Hunter Valley, NSW","Northern Rivers",tier1-live-spatial
010e692f-20f6-4df2-a50e-573c8407b698,"30 Hilton Lane","Orange",tier1-live-spatial
38304084-98a6-4036-bf59-e0a6b6c43767,"2001 Toms Creek Rd","Port Macquarie & Hastings",tier1-live-spatial
1d366b1f-8563-413b-a49a-8b7c677dcefa,"1218 Nangus Road, Gundagai","Riverina",tier1-live-spatial
7756829c-4397-463f-ad30-b4bec98aa2e1,"4388 Batlow Rd","Snowy Mountains",tier1-live-spatial
b159ec2a-2314-4a29-8911-d743f6bb2a2d,"5661 Kosciuszko Rd","Snowy Mountains",tier1-live-spatial
1f8d1534-7739-47c3-a163-a25cc7ef1866,"770 Werralong Rd","Snowy Mountains",tier1-live-spatial
108449a2-2fa4-4bfb-af5a-64794d3622e7,"127 Jerrara Rd","South Coast NSW",tier1-live-spatial
bfedaca5-bda2-494c-b2f2-61089cef9f1e,"185 Wallaby Hill Rd","South Coast NSW",tier1-live-spatial
af8b7de1-6642-4b6a-96d4-6e7ff2d61983,"256 Saddleback Mountain Rd","South Coast NSW",tier1-live-spatial
2573e47d-bc03-4246-885e-c4f809a7a0e4,"Kiama, NSW","South Coast NSW",tier1-live-spatial
c82273da-45b0-4563-a184-7b6ca74e209a,"Unit 3, 51 Rowlins Road GERRINGONG","South Coast NSW",tier1-live-spatial
b21fefc5-2ad7-48b6-98cf-e7c6337875b0,"1480 Wombeyan Caves Rd High Range Nr","Southern Highlands",tier1-live-spatial
09bb2a22-6cd6-49c1-a8d8-862a529e5cbc,"7 Oldbury St","Southern Highlands",tier1-live-spatial
4c095ec4-3611-465c-be95-7742e0fb28db,"96 Osborn Ave  Bundanoon NSW","Southern Highlands",tier1-live-spatial
1860acf8-d9b8-4838-a1d2-02f9d6148fd8,"1 Mrs Macquaries Rd","Sydney",tier1-live-spatial
02e1f59a-31d9-4740-a0ee-5560ddb3ce85,"10 Blacks Road, Arcadia","Sydney",tier1-live-spatial
c5e1b90e-47da-431c-92d5-1b831117a74b,"10 Edwin St, Mortlake NSW","Sydney",tier1-live-spatial
7f3552f6-60bc-41b4-86af-bee922059433,"11 Dent St","Sydney",tier1-live-spatial
4dab3597-07ee-4590-a28a-981be228fda1,"113 - 115 Hall Street, Bondi Beach","Sydney",tier1-live-spatial
a689ad46-5572-4bc1-9d91-ba5e8eb0b8a5,"126 Beach St, Coogee, NSW","Sydney",tier1-live-spatial
cd695fce-654d-4a1f-b699-93d1f3c56d5e,"188 King Street Newtown","Sydney",tier1-live-spatial
50225869-58fd-47b4-ad89-7e87d4705d04,"19 Oxford Street Paddington Sydney","Sydney",tier1-live-spatial
77443c22-1da1-44d2-b515-9f7bf9247239,"196a Denison Rd","Sydney",tier1-live-spatial
b70ebce6-6b8f-4a43-9f63-9f980d3bba9e,"2 Warraba Rd","Sydney",tier1-live-spatial
4390d3a5-f3d4-4a2a-bfa8-e6a87ddc3c45,"2/8A Hughes St","Sydney",tier1-live-spatial
d18005f5-b2c7-432d-9882-91fca8dda391,"20 Narabang Way","Sydney",tier1-live-spatial
b1c6c1d0-7a3e-403e-83d5-538ed0f98d2f,"245 Princes Highway, Kogarah","Sydney",tier1-live-spatial
2d2bfe57-aa18-4780-a96d-60f15f49401d,"26 Fariola St","Sydney",tier1-live-spatial
a9da0a1c-5e90-45da-9f80-e5c35b3f2781,"267 Darlinghurst Road.  Darlinghurst","Sydney",tier1-live-spatial
e331d4a6-eef5-4dbf-82a3-2baf274fa550,"268 Darling Street Balmain NSW 2041","Sydney",tier1-live-spatial
e119616e-e34c-4c6c-885d-3781f6a09fed,"277 Johnston St","Sydney",tier1-live-spatial
4e729daa-1878-413f-b0d2-4c9778905983,"300 Botany Road  Alexandria","Sydney",tier1-live-spatial
7930d2f7-2257-4067-921e-2054986932ac,"324 Norton St","Sydney",tier1-live-spatial
1d1b7d06-88a7-409d-84c4-dab44a5658d4,"34 The Avenue, Randwick","Sydney",tier1-live-spatial
b4be3bb3-a7da-42b5-83d3-b0a909fd22e7,"34/277 Crown Street, Surry Hills Sydney","Sydney",tier1-live-spatial
14998f58-9736-482d-bb0a-a8c8460977d1,"41 Mcclymonts Rd","Sydney",tier1-live-spatial
8d1d1ff2-8aff-4719-8de6-6b483e8c8205,"431 Crown St","Sydney",tier1-live-spatial
ede400bb-1bc4-4de1-97b4-d8550da05366,"44a Wattle St  Ultimo","Sydney",tier1-live-spatial
c55d8027-5132-4ca7-a510-439eaeecee1e,"45 Jubilee Ave","Sydney",tier1-live-spatial
83350371-0b07-425b-a290-434a6741c3df,"49/59 O'Riordan St, Alexandria","Sydney",tier1-live-spatial
9cc2bf57-8ec4-4ee8-bd0f-606a65ce90d4,"511 Kent Street (Entrance on Bathurst St.), Sydney,","Sydney",tier1-live-spatial
911f1f9b-1f91-4926-8d9e-6d5180a8f5a8,"6 East Terrace","Sydney",tier1-live-spatial
0e3c3e73-414d-481a-b5b0-564beba3b0d9,"61 Harris Street, Pyrmont","Sydney",tier1-live-spatial
5cd8676f-ef39-4c42-90e8-b746a1b83e4a,"65 Sussex St","Sydney",tier1-live-spatial
99c82dda-3778-4752-8736-5e7cec6eeb4d,"7 Manning Street, Kingswood, NSW","Sydney",tier1-live-spatial
91590762-1732-4a39-af58-718bf50fbcdb,"760 Darling St","Sydney",tier1-live-spatial
d35f4581-1b33-415d-81bc-a5db44bf5b05,"842 Pacific Highway Gordon NSW 2072 Australia","Sydney",tier1-live-spatial
00827c26-6b5a-475e-8ba0-9758e97bd2f8,"97 Cronulla St","Sydney",tier1-live-spatial
dae64474-394a-4845-99fe-716ac1cf07c7,"99 Victoria Rd","Sydney",tier1-live-spatial
529f9e91-bb8d-42c1-a9b6-1ce13ae9e233,"228 Keira St, Wollongong NSW","Wollongong",tier1-live-spatial
7b67c4f2-8945-41fb-b794-13ed796da9fe,"31 Stonehaven Rd, Stanwell Tops NSW","Wollongong",tier1-live-spatial
aef739ba-1047-4580-8af0-32535a680108,"4/4 George St, Warilla NSW 2528","Wollongong",tier1-live-spatial
7341066d-c4ef-4e05-bf62-00daab6bac45,"94 Darkes Road,  Stream Hill NSW 2526","Wollongong",tier1-live-spatial
8970d258-f71e-455a-a37d-984cbd9369fa,"Shop 15B, 110-114 Crown St, Wollongong","Wollongong",tier1-live-spatial
6502f1b7-6f55-4a72-a9ed-e597d9ee29cd,"1-3 Bridge Street, Muswellbrook NSW","Muswellbrook",tier2-address-locality
f57db8af-b945-40b1-bd8a-2c989f7bb4e4,"1800 Glen Davis Rd","Glen Davis",tier3-best-judgment
8dd344f5-4097-490c-897a-ecac7848871d,"2 Euroka Ave","Kempsey",tier3-best-judgment
768dcf7f-2e42-4eab-8fa6-0a35a603717b,"3105 Remembrance Driveway","Bargo",tier2-address-locality
43aabcdc-8718-4c69-a685-c3a0f53d347f,"32 Bean Ln",,tier3-null-undeterminable
fb1eef55-c8a8-4d6d-bef5-2bd40fea6a3a,"333 Carmichaels Lane Coonabarabran NSW 2357 Australia","Coonabarabran",tier2-address-locality
2acf579c-e1e4-4e02-8c24-5a236b0b35ad,"4 Ocean Street Yamba","Yamba",tier2-address-locality
22f475e1-e6fe-458b-a7ab-547ad3df1753,"40 Seal Rocks Rd","Seal Rocks",tier3-best-judgment
d53de57d-98a2-42db-8561-375b454db983,"424 Moonabung Rd","Vacy",tier2-address-locality
1662115f-8e56-4385-8406-81f3224efc17,"43 Edward St","The Oaks",tier2-address-locality
f2b2e684-f2bc-4066-b4af-1e457d6f613d,"8 Regatta Ave Ballina NSW Australia","Ballina",tier2-address-locality
bddab12d-6105-4f0d-80af-64d9237121b6,"824 Fosterton Rd","Dungog",tier2-address-locality
9390f68d-3f78-4348-b71a-9584e97d9ca8,"969 Bombah Point Rd","Bombah Point",tier3-best-judgment
6e13b9a5-b562-4433-b44a-1992c613fb3a,"13 Elder St","Alice Springs & Red Centre",tier1-live-spatial
f155b90e-d7ab-4b84-9497-105f4d155db1,"27 Tuncks Rd","Alice Springs & Red Centre",tier1-live-spatial
0aa51960-efcf-4077-bb6c-6a91ad6dc553,"4/11 Todd St","Alice Springs & Red Centre",tier1-live-spatial
2d76486f-46b8-4f4a-97a1-9f61541df9f2,"45 Todd Mall","Alice Springs & Red Centre",tier1-live-spatial
ddcff870-cdc6-4fe7-aa78-725371e4b314,"47 Raberaba Cct, Hermannsburg NT 0872","Alice Springs & Red Centre",tier1-live-spatial
ff9df19c-657a-46f5-90b6-17e3a076fc1b,"19 Kitchener Dr","Darwin & Top End",tier1-live-spatial
a252fc34-6b0b-4ed4-958b-881706171df5,"32 Mitchell Street, Darwin City NT","Darwin & Top End",tier1-live-spatial
ca68feab-4d3c-46b4-b4ce-6501b5484a1a,"4 Burnett Pl","Darwin & Top End",tier1-live-spatial
765e8bdb-c594-4899-ad70-badc646804f6,"4295 Fog Bay Rd","Darwin & Top End",tier1-live-spatial
cd7d0b97-951a-4d6e-9086-89fdd2820b0b,"48/12 Charlton Ct","Darwin & Top End",tier1-live-spatial
8cea432d-7bba-4470-84d4-fb263b01bc14,"6 The Blvd","Darwin & Top End",tier1-live-spatial
a3656448-43a7-4a1d-a7c3-e7c8ab6c024b,"7 Kitchener Dr","Darwin & Top End",tier1-live-spatial
7ac3ed63-9038-4757-b684-8df9a0c988d0,"Timor Sea, Tiwi Islands NT","Darwin & Top End",tier1-live-spatial
2407a04a-d75a-4a49-9ba6-f758a0261c3c,"20 Christie Rd","Katherine",tier2-address-locality
b47e4e93-31af-4c22-824c-b6b8c16aa0e5,"Noosa, QLD","Adelaide",tier1-live-spatial
055ba698-c3c3-4afc-ab59-37ff0ad755a5,"1/17 Chrome Street Salisbury","Brisbane",tier1-live-spatial
a43cb4c0-3a26-4664-9a30-33028c7a9789,"135 James St","Brisbane",tier1-live-spatial
aa0e89fc-5298-4ff0-b7f1-e9868a11debb,"147E Alice Street, Brisbane City","Brisbane",tier1-live-spatial
750e7f42-295b-4607-93f1-91af595d51ce,"152 Mount Coot-Tha Rd","Brisbane",tier1-live-spatial
1589c123-d211-4a65-a6b3-0957b18ef856,"167 Latrobe Terrace, Paddington, QLD, 4064","Brisbane",tier1-live-spatial
2152b744-3a02-49af-bb54-1fca0c1cb560,"218 Given Ter","Brisbane",tier1-live-spatial
bc55d017-533f-432b-99c7-e7560e0b9b57,"25 Anstey St","Brisbane",tier1-live-spatial
bf1d4f08-7e2e-488e-aecb-fb06c4464a0f,"25 Leigh St","Brisbane",tier1-live-spatial
27e6a0f7-9c15-46d1-bfd8-c5c0b68f066b,"29 River Terrace, Kangaroo Point","Brisbane",tier1-live-spatial
e14cee5d-7b8d-4c1d-a24d-30161f2e6ee8,"3 ELLISON ROAD GEEBUNG","Brisbane",tier1-live-spatial
d8ea5523-524c-4a14-b534-8739f4c25ff6,"313 Logan Rd","Brisbane",tier1-live-spatial
cba8a006-d1f8-4932-9867-7c7ce6aae805,"360 Logan Rd","Brisbane",tier1-live-spatial
1038b011-0810-4a24-8785-af13fa2f6768,"37 Balfour St","Brisbane",tier1-live-spatial
3a226fc3-ed46-4cf8-8c26-b9123d976fdd,"399 Queen St","Brisbane",tier1-live-spatial
15499c39-e362-4140-8a68-e6fa12ffeafe,"5 Overend Street, East Brisbane QLD, 4169","Brisbane",tier1-live-spatial
bc967b6c-cf0f-4e8f-8b62-eaa6fd0af6b0,"545 Old Cleveland Rd, Camp Hill","Brisbane",tier1-live-spatial
9f9408f9-58b3-4675-bbc5-30eaaf8f8c59,"63 Melbourne Street, Rocklea QLD 4106","Brisbane",tier1-live-spatial
35abad33-ee8f-49fa-9e8b-9706490027d2,"707 Ann St","Brisbane",tier1-live-spatial
0e08d293-28d3-4175-b4bc-949a287b790e,"72 Heal St","Brisbane",tier1-live-spatial
e2fbb5ab-c629-4e56-b6b0-bb3165acde99,"900 Brunswick St","Brisbane",tier1-live-spatial
f22a0640-cd0e-4a99-bf05-18d5477534f0,"92A Arthur Ter","Brisbane",tier1-live-spatial
05d5c47c-a1c5-4bf0-8b5e-59a00906472d,"Shop 1 / 113 Oxley Station Road Oxley, Brisbane","Brisbane",tier1-live-spatial
46704797-4088-4841-af13-366ba79e2270,"Shop 3, The Mall, 3/222 Stratton Terrace, Manly QLD","Brisbane",tier1-live-spatial
75dd05fd-ba6c-4339-b11b-e71795a11612,"18A Eacham CL, Yungaburra, AU 4884","Cairns & Tropical North",tier1-live-spatial
ae7382b2-7908-4a8f-85b1-27e6ecda4777,"247 Hogan Rd","Cairns & Tropical North",tier1-live-spatial
86cacf5a-f04b-40ab-a98f-1f3009418d34,"324 Land Road, Malanda","Cairns & Tropical North",tier1-live-spatial
05e9cf52-5ab4-44a0-9206-5632bbce22ce,"345 Byrnes Street, Mareeba","Cairns & Tropical North",tier1-live-spatial
1f42873b-6d12-4c94-8633-777aeff14c12,"70 Hunt Road, Peeramon","Cairns & Tropical North",tier1-live-spatial
f89942be-9f5c-4a10-b551-eaf81dab7e82,"216 Arnolds Rd, Byfield QLD 4703","Capricorn Coast",tier1-live-spatial
c8ec22be-e03b-4663-be09-99c6d8778f45,"9790 Cunningham Hwy, Tregony","Granite Belt",tier1-live-spatial
f6f0ccda-1a19-40b5-b6dc-9da2bef9efb9,"1531 Beechmont Rd, Beechmont","Scenic Rim",tier1-live-spatial
4fa14d4f-be38-4a5e-aa04-eb8014a5736a,"25 Forsythia Dr","Scenic Rim",tier1-live-spatial
ccd23158-9a44-49b0-af05-8c594dc7e82f,"298 Cainbable Creek Rd, Cainbable Queensland","Scenic Rim",tier1-live-spatial
24f2a71b-a71a-4413-ac7a-d3a5edc07ec4,"3009 Christmas Creek Rd, Lamington Queensland","Scenic Rim",tier1-live-spatial
61a2923c-6cdf-43e8-807a-4b9f834b328a,"312 Boyland Rd","Scenic Rim",tier1-live-spatial
d4ddea9c-8c6e-4796-aab2-6dce33a34f00,"3196 Christmas Creek Rd. Lamington","Scenic Rim",tier1-live-spatial
3a4ed325-a366-4f24-9a36-8d4318c18a84,"3338 Kerry Rd","Scenic Rim",tier1-live-spatial
fda434b9-c29a-40d7-b8cb-737c4d45c60b,"726 Green Hills Rd","Scenic Rim",tier1-live-spatial
